time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,333.4796010588204,0.0003421306610107422,0.0016858577728271484,0.035352230072021484,9501.5,-15.114772184754017,50.0,0.0,3.7981474784530724,10000,-16.35001966959613,50.0,190.5,0.2593970000743866,-0.363802045583725,0.10354490578174591,-0.32080021500587463,0.3678254634141922,0.09992501139640808
15000,0,31.94284932168023,0.00037789344787597656,0.0009090900421142578,0.03953886032104492,14501.5,-8.145447513265244,50.0,0.15,2.527806253486545,15000,-9.381354490343423,50.0,290.5,0.13427249826490878,-1.8626199719905854,1.9186623651981354,-1.5429930702112615,0.05388786242349306,0.02169817906804383
20000,0,31.77001160392451,0.00032806396484375,0.0010221004486083984,0.03244185447692871,19501.5,-7.523466324018884,50.0,0.6,1.1429047552378455,20000,-8.06185379355173,50.0,390.5,0.11294797483831644,-1.751967249393463,1.822469847202301,-2.6276280854940413,0.010821030254272045,0.00795412425417453
25000,0,31.168745082630387,0.00036406517028808594,0.0009799003601074219,0.03335976600646973,24501.5,-9.263051346850563,50.0,0.5,1.4589958542817254,25000,-10.30866766086912,50.0,490.5,0.1150339745245874,-1.665780144572258,1.7370943907499314,-4.544671328783036,-0.0036543924072320808,0.007373624795582146
30000,0,31.17284810135849,0.00037217140197753906,0.0009598731994628906,0.03321695327758789,29501.5,-5.378805244704156,50.0,0.3,1.2537849293767185,30000,-5.545021532750126,50.0,590.5,0.07879656294733287,-1.5457619777917861,1.607245600104332,-3.810566595315933,0.0008442844427518139,0.004384650270454585
35000,0,30.77193018650033,0.0003840923309326172,0.0010209083557128906,0.032959938049316406,34501.5,-6.164886450715208,50.0,0.0,0.9794598194961591,35000,-7.720623190683016,50.0,690.5,0.10363417160138488,-1.5405143347978592,1.6213749023675919,-3.186342279970646,0.0079670788096264,0.010627205800265074
40000,0,32.254588345969935,0.00037407875061035156,0.0009739398956298828,0.03255009651184082,39501.5,-4.45881648418069,50.0,0.7,1.038508549076491,40000,-4.890278074938628,50.0,790.5,0.09420395500957966,-1.3693419054746627,1.4324544849395753,-4.021317863702774,-0.00010624445755092893,0.005154146025422961
45000,0,31.855924562131648,0.0004487037658691406,0.0012161731719970703,0.033891916275024414,44501.5,-4.458149559000708,50.0,0.55,1.4257357724448048,45000,-4.656294590290699,50.0,890.5,0.09229599028825759,-1.2882893912792206,1.3510443172454834,-4.019344482183456,-9.53428740540403e-05,0.005277625354472548
50000,0,30.893745944476958,0.00036406517028808594,0.0009758472442626953,0.032618045806884766,49501.5,-3.944967773322115,50.0,0.85,0.729391711249037,50000,-4.398440913118373,50.0,990.5,0.08860690857470035,-1.2481278660297395,1.3146115536689758,-3.9474544532299043,0.00023367507475995807,0.004157981633674353
