time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,339.8837931264174,0.0021979808807373047,0.0028040409088134766,0.043517112731933594,9501.5,-13.78180616936955,50.0,0.0,3.7896584639735407,10000,-18.495337259059486,50.0,190.5,0.25147341191768646,-0.37123310565948486,0.08651868253946304,-0.43911153078079224,0.17799878120422363,0.04996250569820404
15000,0,30.933699070893226,0.0003609657287597656,0.0010612010955810547,0.03459787368774414,14501.5,-5.3973991006514614,50.0,0.7,1.8006674104963016,15000,-8.159029409820445,50.0,290.5,0.07143283578008414,-1.4540479787588119,1.4998990540504455,-0.6573015855960548,0.03754700573720038,0.011181806321255863
20000,0,30.73549733901107,0.00034809112548828125,0.0010099411010742188,0.03350186347961426,19501.5,-6.215628407566713,50.0,0.3,1.482689477051895,20000,-7.104404023722796,50.0,390.5,0.06856420641392469,-1.259681106686592,1.3084744379520417,-4.19655764079094,-0.0011182676294556586,0.0056065393495373424
25000,0,29.23484150204615,0.00041604042053222656,0.0009577274322509766,0.036968231201171875,24501.5,-5.903737053308729,50.0,0.0,1.412046930959391,25000,-6.50568599737795,50.0,490.5,0.06552576189860701,-1.1573195990324021,1.212249711215496,-4.6989414529800415,-0.0032848237416001212,0.004400497011374682
30000,0,30.667395982072645,0.0003478527069091797,0.0009920597076416016,0.03220415115356445,29501.5,-4.32274026931684,50.0,0.95,0.8183400437123197,30000,-5.125633176127659,50.0,590.5,0.06901283082738519,-1.0817273958921432,1.1411017491817474,-4.0380613241195675,-0.0002173245959711494,0.005668396598659455
35000,0,32.186774989133916,0.0003619194030761719,0.0010020732879638672,0.03120279312133789,34501.5,-4.104562622877414,50.0,0.7,0.9603977635091827,35000,-5.210642141429026,50.0,690.5,0.0689834213256836,-1.0126934134364127,1.0755816283226014,-4.354720109939575,-0.0016125843149711726,0.004406165058724583
40000,0,31.17184240046398,0.0003752708435058594,0.0010097026824951172,0.03327798843383789,39501.5,-3.6998847102220616,50.0,1.0,1.087121346503264,40000,-4.435870885455809,50.0,790.5,0.0640704260841012,-0.9678006694316864,1.0317937802672386,-3.688171429157257,0.0011586962036635668,0.0037380774698685853
45000,0,32.67611425614743,0.00034999847412109375,0.0010068416595458984,0.03206801414489746,44501.5,-3.215973074534399,50.0,1.0,0.9921279262325303,45000,-3.722860954300951,50.0,890.5,0.06538906659185886,-0.9292407886385917,0.9977940556406975,-3.85359632897377,0.0004970506360186846,0.003372614486142993
50000,0,33.5860165586599,0.0003437995910644531,0.0009970664978027344,0.03173518180847168,49501.5,-3.0770591153667595,50.0,1.0,0.7886001647608113,50000,-3.6195122750044213,50.0,990.5,0.0634242546595633,-0.8851846854686737,0.9543579081296921,-4.03757150220871,-0.00010296270768594695,0.002854324374347925
