time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,347.1535226079553,0.00036787986755371094,0.0016961097717285156,0.03550100326538086,9501.5,-14.088005655171742,50.0,0.05,3.6517938114586648,10000,-15.791725544746583,50.0,190.5,0.4337550401687622,-0.41296492516994476,0.14701539278030396,-0.49396489560604095,0.701026976108551,0.19985001534223557
15000,0,30.793928508831478,0.00036597251892089844,0.0009908676147460938,0.033193111419677734,14501.5,-6.736521984862284,50.0,0.65,1.6345248822702283,15000,-9.423451534881314,50.0,290.5,0.11130048057436943,-1.7416466058492661,1.7571968044042587,1.3751522651202976,0.20721259462833405,0.03815432687848806
20000,0,31.272555205480092,0.00034809112548828125,0.0009658336639404297,0.03343319892883301,19501.5,-7.940281340452499,50.0,0.3,1.674281122165692,20000,-7.651055019965362,50.0,390.5,0.13049503982812166,-1.694885793209076,1.753885437488556,-2.916534978926182,0.013729678410687484,0.012558112155646086
25000,0,32.442416776207324,0.0003809928894042969,0.0009551048278808594,0.03232979774475098,24501.5,-6.137341001061098,50.0,0.2,1.3659318630271104,25000,-7.46545571210779,50.0,490.5,0.1089834516569972,-1.535136279463768,1.5890901384353637,-3.9554664306640626,0.0003872568133811001,0.008449705683626234
30000,0,31.358242673285883,0.0003829002380371094,0.000978231430053711,0.03254389762878418,29501.5,-6.68090575462181,50.0,0.45,2.092879343297215,30000,-6.723242839099979,50.0,590.5,0.11166375508159398,-1.509727676153183,1.5727473360300064,-3.7231490008831023,0.0022055919433259987,0.007974524364806711
35000,0,30.79063549188821,0.0003688335418701172,0.0009210109710693359,0.031327009201049805,34501.5,-6.547098686318291,50.0,0.45,2.0095244946803072,35000,-6.812528074158424,50.0,690.5,0.12809572475403547,-1.4701995879411698,1.538169189929962,-3.489028735399246,0.005365141942878836,0.010512825902551412
40000,0,31.86822869642703,0.0003631114959716797,0.0010118484497070312,0.033109188079833984,39501.5,-4.6225321976935,50.0,0.6,1.0765462884736257,40000,-5.403785353400128,50.0,790.5,0.09505491141229867,-1.3852403820753099,1.447097639322281,-4.076238144874573,-0.00032357351779137386,0.004366323069669306
45000,0,31.123063658176466,0.00038933753967285156,0.0010166168212890625,0.03349137306213379,44501.5,-4.551775341338694,50.0,0.6,1.3565835149541283,45000,-4.763051300401388,50.0,890.5,0.08818760047107935,-1.3203956176042557,1.383494969010353,-4.072270464420319,-0.00026776069517291036,0.003841197144938633
50000,0,32.506578036111335,0.0004050731658935547,0.0009558200836181641,0.03481125831604004,49501.5,-4.495599758205593,50.0,0.5,1.3281827949706428,50000,-4.220033056949947,50.0,990.5,0.08572888672351837,-1.2545939222574234,1.3180613635778426,-4.035245439291001,-0.00012017020795974531,0.003464583427179605
