time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/success,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,14.684743234692762,0.00032210350036621094,0.001653909683227539,0.08382296562194824,9501.5,0.0,-16.100699846677493,50.0,0.0,4.080863176417188,10000,-18.13982220892608,50.0,190.5,0.34765422344207764,-0.3820433020591736,0.09284627810120583,-0.656952828168869,0.33425359427928925,0.0999550111591816
15000,0,8.807850608697956,0.0005240440368652344,0.0016961097717285156,0.12979888916015625,14501.5,0.018,-8.324614010697095,50.0,0.05,1.3888070681840732,15000,-9.7302573705411,50.0,290.5,0.196295662894845,-2.3282310266494752,2.3720936880111694,1.3646512379422784,0.17877115280926228,0.033245113134384156
20000,0,15.806323992536987,0.0003578662872314453,0.0010838508605957031,0.06125617027282715,19501.5,0.0,-17.424810136514672,50.0,0.0,14.104525871017163,20000,-14.79049278753725,50.0,390.5,0.8499243287444115,-4.9378357253074645,5.069816066265107,-2.963306879967451,0.01645533743992564,0.01584946250356734
25000,0,15.938408058136485,0.0003578662872314453,0.0009741783142089844,0.06389284133911133,24501.5,0.017,-10.022794417478757,50.0,0.05,3.1199399054089003,25000,-12.5464174506936,50.0,490.5,1.816830270767212,-6.741672404766083,6.964423665523529,-2.1564894421957432,0.07179005453223362,0.04048630375415087
30000,0,15.738426822681483,0.00035262107849121094,0.0009131431579589844,0.06487512588500977,29501.5,0.0,-14.082804216700964,50.0,0.0,2.7526674735038643,30000,-11.417590737025423,50.0,590.5,3.322656030893326,-9.110378004074096,9.321617774009704,-3.9259284996986388,0.003588646253629122,0.047947872869670394
35000,0,12.135266554320104,0.0004961490631103516,0.0013980865478515625,0.091552734375,34501.5,0.015,-8.740391291839881,50.0,0.05,2.6736546036179,35000,-11.648415216660073,50.0,690.5,4.0723902604579925,-10.952004514694213,11.170289479255676,-4.023396802306175,-0.0009224767052219249,0.04494158009812236
40000,0,15.603353671367628,0.0003628730773925781,0.0008630752563476562,0.05928492546081543,39501.5,0.0,-12.694650430679392,50.0,0.0,2.491507209653934,40000,-11.932317590806564,50.0,790.5,4.91128367972374,-12.355679026603699,12.5893876953125,-3.6082933239340784,0.019230216617812403,0.04929827555641532
45000,0,15.326763897520683,0.0003719329833984375,0.0009021759033203125,0.06418585777282715,44501.5,0.0,-12.583339518393828,50.0,0.0,3.538154673858939,45000,-12.695736569916873,50.0,890.5,5.432484724998474,-13.140868640899658,13.352268117904663,-3.8914028694629668,0.004400669173104689,0.03953763633966446
50000,0,15.453339927508603,0.00039315223693847656,0.0015227794647216797,0.05769014358520508,49501.5,0.0,-12.390947211884633,50.0,0.0,3.220758552690564,50000,-13.62790671410139,50.0,990.5,5.809089154481888,-13.744946854591369,13.978289957046508,-3.7033074527978895,0.009929274486668874,0.032006108669564125
55000,0,13.01632013417519,0.0005559921264648438,0.0015060901641845703,0.09235215187072754,54501.5,0.0,-11.947256376880185,50.0,0.0,4.118895224713389,55000,-12.496208392617838,50.0,1090.5,6.352347244977951,-14.394346833229065,14.65558749961853,-3.9417277858257296,0.0019540702372323722,0.032925231784582135
