time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/success,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
20000,0,13.4935529314567,0.00039315223693847656,0.0017271041870117188,0.1013028621673584,19501.5,0.05,-1.7401812531415786,50.0,0.05,0.8493387420727408,20000,-1.5089854019788487,50.0,390.5,0.03907127305865288,-0.09174581617116928,0.09301763772964478,-0.44848909974098206,0.35509710013866425,0.0999550111591816
25000,0,7.933903412271886,0.0005888938903808594,0.0018160343170166016,0.11759495735168457,24501.5,0.0,-1.8256834725676971,50.0,0.0,0.7152180471116293,25000,-1.5122420308314863,50.0,490.5,0.03269738853164017,0.9034075071811676,-0.9616422467827797,2.6814255592823026,0.21590661044418813,0.03230365355871618
30000,0,13.906234826903349,0.00045108795166015625,0.0008788108825683594,0.0663762092590332,29501.5,0.0,-1.643297697677215,50.0,0.0,0.6395215789122577,30000,-1.4925335553840222,50.0,590.5,0.010580674169119448,0.5634259796142578,-0.57229549741745,2.4867902958393096,0.0686730879098177,0.01058465702459216
35000,0,15.294563576391308,0.00045800209045410156,0.0010030269622802734,0.06275486946105957,34501.5,0.0,-1.8417797063788524,50.0,0.0,0.6717592730854582,35000,-1.320639987762933,50.0,690.5,0.0014563069788273424,0.05854387830523774,-0.051317528018320444,2.5537334442138673,0.02265305406972766,0.0034555462177377192
40000,0,7.697707513377298,0.0008687973022460938,0.0018761157989501953,0.1526041030883789,39501.5,0.0,-1.7178848000506377,50.0,0.0,0.6922296295860446,40000,-1.7139788275621417,50.0,790.5,0.006426878138212487,-0.36650954699516297,0.377193174302578,-4.476313397392631,-0.0008611518523684936,0.0018078519330592827
45000,0,7.943848313161319,0.0005519390106201172,0.0017092227935791016,0.12453389167785645,44501.5,0.0,-1.5637736996259863,50.0,0.0,0.6924334890424448,45000,-1.1596079576008906,50.0,890.5,0.01605432405602187,-0.7278404456973075,0.748740234375,-3.5302281514108182,0.0008208580139471451,0.0016866745612351224
50000,0,8.207555835077523,0.0006110668182373047,0.0011639595031738281,0.10917997360229492,49501.5,0.0,-1.884537628967743,50.0,0.0,0.6276935035118889,50000,-1.164384894604191,50.0,990.5,0.028471350784413516,-1.0202616770267487,1.0436166301369667,-6.128188584566116,-0.006060601759083511,0.0028595785906072708
55000,0,7.615615737360496,0.0006129741668701172,0.0017158985137939453,0.11684417724609375,54501.5,0.0,-1.779738503035352,50.0,0.0,0.7829448935966502,55000,-1.3991796436971404,50.0,1090.5,0.050648771211504934,-1.2518372547626495,1.2824191685914994,-3.897249718666077,0.0006788943951687543,0.006731088767759502
60000,0,7.370027834563499,0.0006289482116699219,0.0018761157989501953,0.13917899131774902,59501.5,0.05,-1.672537729293697,50.0,0.05,0.7855638943596589,60000,-1.691012007130333,50.0,1190.5,0.06977283345535397,-1.483491863012314,1.5203659428358078,-3.962553508520126,0.00016422699432587252,0.0043578687962144615
65000,0,7.373430128730408,0.0006721019744873047,0.001708984375,0.14852213859558105,64501.5,0.0,-1.4837454342558152,50.0,0.0,0.6409079043688513,65000,-1.6910114330735937,50.0,1290.5,0.08846597351133824,-1.7135917764902115,1.7547407652139664,-3.3958765377998352,0.003310969712671067,0.005452170922886581
70000,0,7.49118307096759,0.0007338523864746094,0.001852273941040039,0.14618182182312012,69501.5,0.0,-1.720651655775502,50.0,0.0,0.630355306016637,70000,-1.684689989849856,50.0,1390.5,0.10862296717613935,-1.8551687979698182,1.8954786015748977,-4.175676203489304,-0.0007653828770853579,0.004353855195455253
75000,0,12.894347802785463,0.00047516822814941406,0.0010571479797363281,0.07004380226135254,74501.5,0.05,-1.4802372352126691,50.0,0.05,0.7954242117052605,75000,-1.8302114319977218,50.0,1490.5,0.1259544206187129,-1.9623891397714615,2.005581482410431,-3.8852259786128998,0.0006128907962702215,0.005423170320224017
80000,0,15.904748187156969,0.0004189014434814453,0.0009510517120361328,0.06631207466125488,79501.5,0.0,-1.4114167554086845,50.0,0.0,0.6326182434175386,80000,-1.7684380116700513,50.0,1590.5,0.13478003500401975,-2.0810991008281707,2.1251046571731567,-3.946527948141098,0.0002793158500935533,0.005087232641410083
85000,0,15.981079955644706,0.00044083595275878906,0.001013040542602539,0.05587506294250488,84501.5,0.0,-1.9431520807048634,50.0,0.0,0.713884125163823,85000,-1.5446071545890727,50.0,1690.5,0.14501927273720502,-2.1585567989349363,2.2031772766113282,-4.052423235654831,-0.0002794547022858751,0.005411863616202026
90000,0,8.116816842568342,0.0006780624389648438,0.001322031021118164,0.1250319480895996,89501.5,0.0,-1.4827817772814211,50.0,0.0,0.7486354793872474,90000,-1.5810398165321078,50.0,1790.5,0.14917032807320357,-2.201311646461487,2.2457667248249056,-4.031449051380157,-0.00016851721984130564,0.005411943536251783
