time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,train/gripper_goal_distance,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,valid/gripper_goal_distance,step
0,0,292.4388356283772,0.028480052947998047,0.012489795684814453,0.3009800910949707,1.993476152420044,0.5807291716337204,0.6015625149011612,0.6744791716337204,1.5878834,2.008350431919098,0.6294270813465118,0.6549479186534881,0.6406250022351742,1.5926654,0
1000,41,2.986856568931493,0.002375483512878418,0.00611114501953125,0.29303205013275146,1.7442852985858917,0.6272916662693023,0.7944791668653488,0.7359635422378779,1.6180179,1.7530980944633483,0.6236979216337204,0.7986979141831398,0.7364583373069763,1.7231991,1000
2000,83,3.1292248281173642,0.0021915435791015625,0.0067975521087646484,0.31688082218170166,1.680008112192154,0.6294270829856395,0.8036979161202907,0.7326822923868894,1.6304342,1.6452128171920777,0.62421875,0.8101562455296516,0.7536458298563957,1.5953436,2000
3000,125,2.81959638796488,0.0027130842208862305,0.00642549991607666,0.3517495393753052,1.6357372546195983,0.627682292163372,0.810338540673256,0.7406249988079071,1.6171457,1.609779465198517,0.6101562485098839,0.8080729141831398,0.7406250022351741,1.59067,3000
4000,166,2.8116520951101833,0.00241851806640625,0.00732266902923584,0.40176141262054443,1.6192399644851685,0.6248958330601454,0.8117968766391277,0.7370312505960465,1.6113806,1.5922423481941224,0.6223958328366279,0.81484375,0.7539062514901161,1.5768049,4000
5000,208,2.4048617987852565,0.0026578903198242188,0.0076760053634643555,0.36969518661499023,1.6329706692695618,0.6249479170888662,0.8200520814955234,0.7360156246274709,1.569712,1.5672375679016113,0.623177082836628,0.8361979186534881,0.7601562529802323,1.636452,5000
6000,250,2.673705205002261,0.0024415254592895508,0.006795525550842285,0.35813283920288086,1.6235333716869353,0.6289062509685754,0.8226822909712791,0.7418489561975002,1.5865959,1.597012209892273,0.6234374970197678,0.8390625029802322,0.7486979186534881,1.5806316,6000
7000,291,2.5461615250841625,0.0034656524658203125,0.006143450736999512,0.36930739879608154,1.5988807773590088,0.6265364585071802,0.8264062508940697,0.7439583329111338,1.6027454,1.6112703442573548,0.633333332836628,0.8390625,0.7497395873069763,1.5901462,7000
8000,333,2.6351335373049434,0.003281116485595703,0.006861686706542969,0.3968886137008667,1.5963598167896271,0.6250781260430813,0.8224479158222675,0.7445833346247673,1.589744,1.6194059252738953,0.6374999985098839,0.834375,0.742447915673256,1.6214359,8000
9000,375,2.724131305406789,0.0023610591888427734,0.005753636360168457,0.3373444080352783,1.6017284047603608,0.628177083581686,0.8196614582836628,0.7446354150772094,1.6103593,1.580360734462738,0.6263020828366279,0.8320312514901161,0.749479167163372,1.7276548,9000
10000,416,2.804318795255685,0.0029234886169433594,0.006833791732788086,0.3463989496231079,1.599063915014267,0.6250520838052034,0.8269270841777324,0.7437760426104069,1.6147568,1.5535659074783326,0.6312500014901161,0.8320312514901161,0.7656250014901161,1.6794453,10000
11000,458,2.7617097041519245,0.002690434455871582,0.005998969078063965,0.35615599155426025,1.6042559564113616,0.6268489584326744,0.8256510412693023,0.7434895843267441,1.599454,1.5598803162574768,0.6343749970197677,0.8343749940395355,0.7593749985098839,1.691981,11000
12000,500,2.475999700233305,0.0024225711822509766,0.007353067398071289,0.39425742626190186,1.5934297436475753,0.6264322913438082,0.8265104167163372,0.7459114585071802,1.6071621,1.5197456121444701,0.6260416656732559,0.828125,0.7721354201436043,1.6963075,12000
13000,541,2.2515538715730634,0.003114938735961914,0.008448481559753418,0.4520130157470703,1.6179029047489166,0.6269270834326744,0.822838542163372,0.7419531254470348,1.6087607,1.5722687363624572,0.6338541656732559,0.8546874970197678,0.745833334326744,1.6178764,13000
14000,583,2.008960242478583,0.0041724443435668945,0.006604909896850586,0.45945918560028076,1.58822265625,0.6285416669398546,0.8284895826876163,0.7487760424613953,1.5963532,1.554501485824585,0.6302083343267441,0.8348958298563958,0.7562500044703484,1.6735452,14000
15000,625,2.2643142646884917,0.003344416618347168,0.009761452674865723,0.40428197383880615,1.5928935873508454,0.6270572914928197,0.8290364587306976,0.7491145819425583,1.5909005,1.537777876853943,0.6242187514901161,0.8307291656732559,0.7656250059604645,1.6180283,15000
16000,666,2.397816391308124,0.002904534339904785,0.0070765018463134766,0.38771510124206543,1.5923176562786103,0.624218750372529,0.8242187505960464,0.746536458209157,1.5935973,1.4799607157707215,0.62890625,0.83984375,0.7705729156732559,1.6482462,16000
17000,708,2.591552899983732,0.003103971481323242,0.0075244903564453125,0.380326509475708,1.5933299052715302,0.628958333209157,0.8263541674613952,0.741067709326744,1.6278082,1.5037689089775086,0.6315104156732559,0.8328125029802322,0.775520832836628,1.6021535,17000
18000,750,2.4342464905210526,0.0025500059127807617,0.006651759147644043,0.39436066150665283,1.5866517281532289,0.6289843767136335,0.8268489591777325,0.7465885420143604,1.6094514,1.5806984663009644,0.625,0.8427083298563958,0.7489583343267441,1.6075981,18000
19000,791,2.4563438343986723,0.002414107322692871,0.006979942321777344,0.37917613983154297,1.595385035276413,0.6271614576131106,0.8316666676104069,0.7450260408967734,1.6057686,1.572257363796234,0.6289062514901161,0.8354166701436043,0.7484374985098838,1.5609298,19000
20000,833,2.5355629855479394,0.002473592758178711,0.00772857666015625,0.38609981536865234,1.6116121113300323,0.6268489583581686,0.828203125,0.7464843747019768,1.6084367,1.5186047434806824,0.6221354141831398,0.8388020828366279,0.7614583313465119,1.6430842,20000
21000,875,2.6211307884772967,0.0023974180221557617,0.006203055381774902,0.3724764585494995,1.5984419536590577,0.6253645815700293,0.8279947930574417,0.7444270841032267,1.6100299,1.5228742599487304,0.619270832836628,0.83671875,0.7591145902872085,1.6486452,21000
22000,916,2.533440271313841,0.0023093223571777344,0.009721040725708008,0.37675726413726807,1.6138287341594697,0.6283593737334013,0.8302604167163372,0.74075520709157,1.5918455,1.5835341453552245,0.6242187529802322,0.8346354171633721,0.7395833313465119,1.6253084,22000
23000,958,2.506327165894876,0.0031915903091430664,0.008838891983032227,0.395999550819397,1.59659219622612,0.6262499991059304,0.8262239588797092,0.7452604170143604,1.6021886,1.6245330691337585,0.616927082836628,0.840104165673256,0.7403645843267441,1.6274534,23000
24000,1000,2.491743549116883,0.002416372299194336,0.007961511611938477,0.411623477935791,1.5861835765838623,0.6263802094757557,0.8235937501490116,0.7512499991804361,1.6226268,1.5764535903930663,0.630989582836628,0.83125,0.7419270865619183,1.6174145,24000
25000,1041,2.541560408378916,0.0023670196533203125,0.007120966911315918,0.41058897972106934,1.5830507624149321,0.6261197903007268,0.8274479152262211,0.7517708328366279,1.5968491,1.5261672019958497,0.6276041641831398,0.8421874985098838,0.7557291656732559,1.6440178,25000
26000,1083,2.515755229743481,0.002415895462036133,0.007902026176452637,0.3806229829788208,1.6018403899669647,0.6274999999254942,0.8241406248509884,0.7425000011920929,1.6246573,1.6184044241905213,0.6244791686534882,0.8359375,0.7351562485098839,1.6127554,26000
27000,1125,2.549290196002564,0.002585291862487793,0.007523059844970703,0.35384154319763184,1.5984405708312988,0.6283333325386047,0.8255729162693024,0.7446874992549419,1.6013657,1.6459282755851745,0.61875,0.8434895798563957,0.7255208313465118,1.6418493,27000
28000,1166,2.5052002730792915,0.0023905038833618164,0.00760042667388916,0.38590705394744873,1.6039509069919586,0.628541666045785,0.828723958581686,0.7442187488824129,1.614244,1.6011614561080934,0.62578125,0.841927082836628,0.7531250014901161,1.6332366,28000
29000,1208,2.594733109439067,0.00301206111907959,0.007102489471435547,0.3852020502090454,1.612982658147812,0.6282291667908431,0.8308593754470348,0.744374999254942,1.596318,1.5684922456741333,0.6322916686534882,0.83671875,0.755208333581686,1.6464221,29000
30000,1250,2.5892999902090317,0.0024684667587280273,0.0066879987716674805,0.37444961071014404,1.6022695076465607,0.6292968756705523,0.830104167163372,0.7436458331346512,1.5981771,1.5604336142539978,0.6398437529802322,0.8333333298563957,0.7552083328366279,1.5968597,30000
31000,1291,2.65174538931474,0.0024166107177734375,0.010343313217163086,0.3738059997558594,1.5934261059761048,0.6285156225413084,0.8286458338797092,0.7468750000745058,1.6341285,1.4830786824226379,0.6250000014901161,0.8260416626930237,0.7622395813465118,1.6388948,31000
32000,1333,2.6068882196137055,0.0031665563583374023,0.007530927658081055,0.4071040153503418,1.6268607091903686,0.6305468755215407,0.8330468745529651,0.739010417163372,1.6395731,1.5627847552299499,0.628125,0.837760417163372,0.7510416656732559,1.6037966,32000
33000,1375,2.619127408715382,0.0024099349975585938,0.00777745246887207,0.40447866916656494,1.5820028495788574,0.6235156254470349,0.8307812502980232,0.7485677091032267,1.6050429,1.5160982608795166,0.6203124962747097,0.8265625014901161,0.7609375014901161,1.6211809,33000
34000,1416,2.59362486466081,0.00279998779296875,0.0080336332321167,0.3864690065383911,1.6200018513202668,0.629635417535901,0.8330989578366279,0.7403906254470348,1.6285706,1.530375337600708,0.6145833387970925,0.8380208298563957,0.7643229141831398,1.631299,34000
35000,1458,2.596966222778612,0.0030965805053710938,0.007006406784057617,0.40211009979248047,1.5904218661785126,0.6246093755215406,0.8303125017881393,0.7476041675359011,1.6181215,1.6144827365875245,0.6143229171633721,0.8294270828366279,0.7468749970197678,1.6216962,35000
36000,1500,2.7319840307892216,0.002423524856567383,0.006377577781677246,0.38174641132354736,1.5743423092365265,0.6281770820170641,0.825911458581686,0.7485156255960465,1.613731,1.5365530133247376,0.6309895843267441,0.8466145828366279,0.7679687485098838,1.6401169,36000
37000,1541,2.6336335257014833,0.0023956298828125,0.007804393768310547,0.3910105228424072,1.5936144196987152,0.6272395829111338,0.8278125008940697,0.7457812503725291,1.6007615,1.5674400568008422,0.6380208313465119,0.8390625014901161,0.7601562514901161,1.5828125,37000
38000,1583,2.6810603647231956,0.003707408905029297,0.0070345401763916016,0.3726484775543213,1.5929699349403381,0.6265104173868895,0.8316666652262211,0.746354166418314,1.6002572,1.540854561328888,0.6067708365619182,0.8359375029802323,0.7661458313465118,1.5835936,38000
39000,1625,2.7060156742693917,0.0031870603561401367,0.008539557456970215,0.37076234817504883,1.5800345206260682,0.6236718740314245,0.82875,0.7491406232863664,1.6103828,1.52401465177536,0.6226562514901162,0.8427083343267441,0.7614583298563957,1.5149951,39000
40000,1666,2.6402026163946752,0.002713918685913086,0.008477091789245605,0.36439085006713867,1.598781065940857,0.6272656255960465,0.8317968747019768,0.7483072911202907,1.5976229,1.5313954472541809,0.6302083343267441,0.8346354126930237,0.7575520768761634,1.6228836,40000
41000,1708,2.4845237797155777,0.0024826526641845703,0.0076874494552612305,0.37514352798461914,1.5897585093975066,0.625833333209157,0.8301041676104068,0.7456510417163372,1.5833025,1.6513673663139343,0.6283854156732559,0.8354166656732559,0.7291666686534881,1.5349413,41000
42000,1750,2.5341484684412268,0.002469658851623535,0.006541848182678223,0.3960665464401245,1.5824460899829864,0.6291927067935467,0.8302864570915699,0.7484375001490116,1.589961,1.5695866107940675,0.6302083328366279,0.8289062514901161,0.7578124970197677,1.6306015,42000
43000,1791,2.564974663782582,0.003054976463317871,0.007057547569274902,0.3773479461669922,1.5984307360649108,0.6240364600718021,0.8304166667163372,0.7460677099227905,1.6118485,1.5431554317474365,0.625260416418314,0.839322917163372,0.753906250745058,1.5866148,43000
44000,1833,2.5263075015691303,0.002353191375732422,0.006991386413574219,0.378770112991333,1.5993650937080384,0.625078125,0.8300781248509884,0.7459635426104069,1.5976243,1.5642225861549377,0.624479167163372,0.8453125029802322,0.749479167163372,1.6461242,44000
45000,1875,2.693986566292688,0.0024603605270385742,0.005207538604736328,0.372439980506897,1.596415708065033,0.6296093743294477,0.8294270834326745,0.7481250005960465,1.6033701,1.584567415714264,0.6244791656732559,0.8408854171633721,0.7523437514901161,1.6717393,45000
46000,1916,2.630979091561416,0.0023986101150512695,0.007065415382385254,0.37615811824798584,1.5927497577667236,0.6296614590287208,0.8269270832836628,0.745729164853692,1.6011786,1.5368061423301698,0.6416666671633721,0.849479167163372,0.7760416656732559,1.6361887,46000
47000,1958,2.5876988651128503,0.0023679733276367188,0.006940603256225586,0.4385395050048828,1.5900377893447877,0.6273958335071802,0.831145833581686,0.7461718739569188,1.6082926,1.5676098585128784,0.627604166418314,0.840104167163372,0.7588541656732559,1.5628196,47000
