time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,354.6271772183856,0.0003581047058105469,0.001294851303100586,0.03615307807922363,9501.5,-16.199910208392176,50.0,0.0,3.3960089052091655,10000,-16.552004251234177,50.0,190.5,0.22906091064214706,-0.3689480870962143,0.09459742158651352,-0.4205772429704666,0.17892466485500336,0.04996250011026859
15000,0,30.332340762431944,0.0004680156707763672,0.0012547969818115234,0.03726601600646973,14501.5,-8.440464082864262,50.0,0.35,1.9329713432810907,15000,-7.842976301437687,50.0,290.5,0.12291949018090963,-1.8221939713954927,1.8723034777641296,-2.4717016722038387,0.02128882210259326,0.0140264442441985
20000,0,30.547737015195793,0.00037598609924316406,0.0009889602661132812,0.0342409610748291,19501.5,-6.903758291316637,50.0,0.15,0.9474825003731232,20000,-6.3645681396916745,50.0,390.5,0.11382411720603705,-1.6378664742708207,1.6933072930574418,-3.9849370591640474,0.0001264343301882036,0.00791584269143641
25000,0,30.21415841042746,0.0003578662872314453,0.0009942054748535156,0.034243106842041016,24501.5,-5.928416650970763,50.0,0.2,1.7816633021828083,25000,-6.619806486648312,50.0,490.5,0.09341710184514522,-1.487560212612152,1.5399067407846452,-4.066766541004181,-0.0003807912943411793,0.005844086498022079
30000,0,31.710147977071703,0.0003943443298339844,0.0008919239044189453,0.03509974479675293,29501.5,-9.044523187798541,50.0,0.0,1.9136030366168544,30000,-7.483694029862562,50.0,590.5,0.1601800601258874,-1.4985329294204712,1.5765720487833024,-4.180161540031433,-0.0023087582350126467,0.013283064375631511
35000,0,28.06042897901026,0.0003943443298339844,0.0009508132934570312,0.0365450382232666,34501.5,-5.116690420835889,50.0,0.5,1.3089732963434495,35000,-6.872655522087439,50.0,690.5,0.09458744376897812,-1.4400728400945664,1.5080273840427398,-2.560412990450859,0.015104558759063367,0.010011381033807993
40000,0,31.537251136471202,0.00037789344787597656,0.0011830329895019531,0.03329801559448242,39501.5,-6.714584757570684,50.0,0.1,1.2748772400931172,40000,-5.797025460483431,50.0,790.5,0.09428209096938371,-1.345402747273445,1.4099267327785492,-3.997665266752243,4.048588740988635e-05,0.006918195158708841
45000,0,30.302334329425687,0.00030112266540527344,0.0009987354278564453,0.03189706802368164,44501.5,-15.461438078324116,50.0,0.0,2.1036314610463225,45000,-6.021050224768921,50.0,890.5,0.08868609948083758,-1.2982615745067596,1.3628411651849748,-3.964863008260727,0.0002184975632408168,0.005264667418319732
50000,0,31.22430407045932,0.00035190582275390625,0.0009531974792480469,0.04811811447143555,49501.5,-6.425215497367233,50.0,0.35,2.190194993109988,50000,-7.450398372864612,50.0,990.5,0.11027656285464764,-1.2928750654459,1.3664389454126358,-4.061666100740433,-0.0005271748261584435,0.009009275265969336
